Name,Symptoms
Wolff Parkinson White syndrome,"a pounding or fluttering heartbeat (heart palpitations), feelinglightheaded or dizzy, shortness of breath, chest pain, passing out (fainting)"
Moles,"babies to be born with moles, new moles to appear  especially in children and teenagers, moles to fade or disappear as you get older, moles to get slightly darker during pregnancy"
Allergic rhinitis,"sneezing, an itchy nose, a runny or blocked nose, itchy, red and watery eyes, a cough, the roof of your mouth being itchy"
Iron deficiency anaemia,"tiredness and lack of energy, shortness of breath, noticeable heartbeats (heart palpitations), paler than usual skin, headaches"
Asthma,"wheezing, coughing, shortness of breath, your chest feeling tight, threatening"
Fracture of the Neck,"severe neck pain, swelling, tenderness, difficulty moving or turning the head, numbness or weakness in the arms or legs"
Hyperosmotic Hyperketotic State,"increased blood sugar levels, increased ketone production, excessive thirst, frequent urination, fatigue, confusion, fruity breath odor"
Peripheral neuropathy,"numbness and tingling in the feet or hands, burning, stabbing or shooting pain in affected areas, loss of balance and coordination, muscle weakness, especially in the feet"
Antihypertensives Poisoning,"dizziness, low blood pressure, slow heart rate, nausea, vomiting"
Muscle Spasm,"sudden, involuntary muscle contractions, muscle pain, stiffness, limited range of motion"
Crushing Injury,"severe pain, swelling, deformity, bruising, difficulty moving or using the affected area"
Ulcerative colitis,"recurringdiarrhoea, which may contain blood, mucus or pus, tummy pain, needing to poo frequently"
Pituitary Disorder,"various symptoms depending on the specific disorder, including hormonal imbalances"
Brain abscess,"changes in mental state  such as confusion or irritability, a high temperature, seizures (fits), feeling sick, being sick, stiff neck"
Chorioretinitis,"eye pain, blurred vision, sensitivity to light"
Round Ligament Pain,sharp or aching pain in the lower abdomen or groin
Narcolepsy,"excessive daytime sleepiness, sudden loss of muscle tone (cataplexy)"
Anxiety,"excessive worrying, restlessness, increased heart rate, panic attacks"
Acinic cell carcinoma,"lump, swelling, facial changes"
Bowel polyps,"bleeding from your bottom, losing weight without trying"
Hypercalcemia,"fatigue, nausea, excessive thirst, kidney stones"
Lung cancer,"a persistent cough, coughing up blood, persistent breathlessness, unexplained tiredness and weight loss, an ache or pain when breathing or coughing"
Lung cancer screening,"a cough that does not go away after 3 weeks, an existing cough that changes or gets worse, chest infections that keep coming back, coughing up blood, being short of breath a lot, unexplained tiredness, an ache or pain when breathing or coughing, loss of appetite or unexplained weight loss"
Pregnancy-Induced Hypertension,high blood pressure during pregnancy
Acute Kidney Injury,"decreased urine output, fluid retention, fatigue"
Lead Poisoning,"fatigue, abdominal pain, joint pain, memory loss or cognitive difficulties, developmental delays (in children), anemia"
Overactive thyroid (hyperthyroidism),"nervousness, anxiety and irritability, mood swings, difficulty sleeping, persistent tiredness and weakness, sensitivity to heat, swelling in your neck from anenlarged thyroid gland (goitre), an irregular andor unusually fast heart rate(palpitations), twitching ortrembling, weight loss"
Balanitis,"inflammation of the glans penis (tip of the penis), redness, swelling, pain"
Normal Pressure Hydrocephalus,"gait disturbances, urinary incontinence, cognitive decline or dementia-like symptoms"
Wilson Disease,"fatigue, abdominal pain or swelling, jaundice, neurological symptoms (tremors, difficulty speaking or walking)"
Deafblindness,"difficulty following a conversation, not hearing noises such as a knock at the door, asking others to speak loudly, slowly and more clearly, difficulty moving around unfamiliar places"
Open Wound from Surgical Incision,"redness, swelling, discharge from the wound"
Von Willebrand Disease,"easy or excessive bruising, prolonged or excessive bleeding from cuts or injuries, frequent nosebleeds, heavy or prolonged menstrual periods, bleeding gums, blood in urine or stool"
Endometriosis,"severeperiod pain, that stops you from doing your normal activities, pain when you poo or pee, pain in your lower tummy and back (pelvic area), pain during or after sex, extreme tiredness (fatigue)"
Pyelonephritis,"fever, chills, back or flank pain, frequent urination"
Marfan syndrome,myopia shortsightedness
Uterine Fibroids,"heavy or prolonged menstrual periods, pelvic pain or pressure, frequent urination, difficulty emptying the bladder, constipation, backache, leg pain, enlarged abdomen or uterus, infertility or recurrent miscarriages (in some cases)"
Childhood cataracts,term vision problems
Appendicitis,"feeling or being sick, or loss of appetite, a high temperature, constipation or diarrhoea, peeing more than usual, sudden confusion (in older people)"
Scleritis,"eye redness, severe eye pain, blurred vision"
Obesity,"excessive body weight, increased risk of chronic conditions"
Drug Withdrawal,"anxiety, restlessness, irritability, tremors, sweating, nausea, vomiting, insomnia, drug cravings"
Motion sickness,"dizziness, feeling sick (nausea), being sick, headache, feeling cold and going pale, sweating"
Thrombophlebitis,"redness, warmth, swelling, and tenderness along a vein, pain or discomfort, skin discoloration, visible veins, fever"
Pelvic pain,"a sharp, stabbing or burning pain that happens suddenly, a dull or heavy ache, or feeling of pressure, a twisted or knotted feeling, a cramping or throbbing pain, which may come and go"
Chronic Fatigue Syndrome,"extreme fatigue, cognitive difficulties, unrefreshing sleep"
Hearing loss,"asking people to repeat themselves, difficulty hearing on the phone, finding it hard to keep up with a conversation, feeling tired or stressed from having to concentrate while listening"
Vasculitis,"inflammation of blood vessels leading to various symptoms depending on the affected organs, including rash, fever, fatigue, muscle and joint pain, shortness of breath, weight loss"
Compartment syndrome,"swelling or bulging of the muscle, numbness, weakness or pins and needles, tightness or difficulty moving the affected body part"
Tension Headache,"mild to moderate head pain, tightness or pressure sensation on both sides of head"
Breast abscess,"a lump or swelling in your breast, a high temperature, feeling generally unwell"
Idiopathic pulmonary fibrosis,"shortness of breath, a persistent drycough, tiredness, loss of appetite andweight loss, rounded and swollen fingertips (clubbed fingers)"
Amyloidosis,"fatigue, weight loss, organ dysfunction"
Japanese encephalitis,"like symptoms such as, a headache, a high temperature, feeling or being sick, tummy pain, a severe headache, feeling confused, seizures (fits)"
Heart attack,"feeling lightheaded or dizzy, sweating, shortness of breath, feeling sick (nausea) or being sick (vomiting), an overwhelming feeling of anxiety (similar to a panic attack), coughing or wheezing"
Urticaria (Hives),"raised, itchy welts on the skin"
Short sightedness (myopia),"sighted include, getting headaches, rubbing the eyes a lot"
Achalasia,difficulty swallowing
Carbon Monoxide Poisoning,"headache, dizziness, nausea, confusion"
Frozen shoulder,stiffness in your shoulder which makes it difficult to move
Osteoarthritis,"swelling, tenderness, grating or crackling sound when moving the affected joints"
Drug Abuse (Methamphetamine),"increased energy and alertness, decreased appetite, rapid heartbeat"
Penile cancer,"a rash, bleeding from your penis or under your foreskin, a smelly discharge, difficulty pulling back your foreskin (phimosis), a lump in your groin, feeling tired, tummy pain, losing weight without trying"
Herpangina,"sore throat, fever, painful sores or blisters in the mouth and throat, difficulty swallowing, loss of appetite"
Venous leg ulcer,"worsening pain, redness and swelling of the skin around the ulcer, a high temperature (fever), an unpleasant smell coming from the ulcer"
Glomerulonephritis,"rashes, joint pain, stomach pain, high temperature, shortness of breath, peeing a lot less than usual, tiredness, loss of appetite and weight loss"
Bladder Cancer,"blood in urine, frequent urination, pelvic pain"
Hirschsprung's disease,"a swollen belly, vomiting green or yellowgreen fluid (bile), a swollen belly, vomiting or a stomach ache, not feeding well or not gaining much weight"
Low white blood cell count,"a high temperature, chills and shivering, sore throat, mouth sores that keep coming back, toothache, skin rashes, tiredness, flulike symptoms"
Spinal muscular atrophy (SMA),"muscle weakness  such as floppy or weak arms and legs, movement problems  such as difficulty sitting up, crawling or walking, problems with breathing or swallowing, twitching or shaking muscles (tremors)"
Acute Glaucoma,"severe eye pain, blurred vision, halos around lights"
Spondylitis,"chronic back pain and stiffness, especially in the morning or after periods of inactivity, limited range of motion in the spine, fatigue, inflammation and pain in other joints (such as hips, shoulders, knees), discomfort or pain in the neck, difficulty maintaining proper posture, tenderness or swelling in affected areas, tingling or numbness in extremities in severe cases"
Bloating,"your tummy feels full or bigger than usual, you have tummy pain or discomfort, your tummy is rumbling or making noises, you're farting more than usual"
Urethral Valves,"difficulty or poor urinary stream, urinary tract infections, urinary frequency or urgency, abdominal distension, poor weight gain"
Diverticulosis,"abdominal pain, bloating, changes in bowel movements"
Complex Regional Pain Syndrome,"severe and chronic pain, often in the limbs, with associated swelling, changes in skin color or temperature, abnormal sweating, limited range of motion"
Bone cancer,"a noticeable lump over a bone, a weak bone that breaks (fractures) more easily than normal, problems moving around  for example, walking with a limp"
Mesothelioma,"chest pain, shortness of breath, fatigue (extreme tiredness), a high temperature and sweating, particularly at night, a persistentcough, loss of appetite andunexplained weight loss, clubbed (swollen) fingertips, tummy painor swelling, feeling or being sick, loss of appetite and unexplained weight loss, diarrhoeaorconstipation"
Chronic Inflammatory Demyelinating Polyneuropathy (CIDP),"weakness, numbness, tingling in limbs"
Gonorrhea,"painful urination, abnormal discharge from the genitals, pelvic pain"
Breast cancer in women,"a lump, or swelling in your breast, chest or armpit"
Parathyroid Adenoma,"fatigue, weakness, bone pain, frequent urination, kidney stones"
Thyroid cancer,"a hoarse voice, a sore throat, difficulty swallowing or breathing, softer poos or diarrhoea, weight loss, a cough"
Fibromyalgia,"widespread musculoskeletal pain, fatigue, sleep disturbances, cognitive difficulties (fibro fog), mood changes"
Overflow Incontinence,"frequent or constant dribbling of urine, inability to completely empty the bladder, weak urine stream"
Chronic myeloid leukaemia,"feeling tired or weak, bleeding or bruising easily or for no reason, swollen glands, usually in the neck, armpits and groin, aches and pains in your bones, loss of appetite or losing weight without trying, swollen tummy  your tummy may feel painful, uncomfortable or full, night sweats, headaches, blurred vision, swollen or painful joints, painful erections(priapism), or erections that do not go down"
Sarcoidosis,raycarried out for another reason
Nonalcoholic Liver Disease (NASH),"fatigue, abdominal swelling or pain, enlarged liver, elevated liver enzymes, insulin resistance"
"Sedative, Hypnotic, or Anxiolytic Use Disorder","sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce use, continued use despite negative consequences (such as relationship problems, health risks)"
Tuberous sclerosis,"headaches, neck pain, feeling and being sick, increasing drowsiness, changes in your mental state, such as confusion, blurred vision,double visionor loss of vision, difficulty walking, worsening epilepsy or challenging behaviour"
Typhoid fever,"a persistent high temperature that gradually increases each day, headache, general aches and pains, extreme tiredness (fatigue), cough, constipation"
Norovirus (vomiting bug),"feeling sick, being sick (vomiting), diarrhoea, a high temperature, a headache, tummy pain, body aches and pains"
Autosomal dominant polycystic kidney disease,"a persistentheadache, blurred ordouble vision, nosebleeds, shortness of breath"
Vascular dementia,"slowness of thought, difficulty with planning and understanding, problems with concentration, changes to your mood, personality or behaviour, feeling disoriented and confused, difficulty walking and keeping balance"
Cranial Nerve Palsy,"depends on the specific cranial nerve involved; symptoms can include vision changes, eye movement abnormalities, facial weakness or paralysis, difficulty swallowing or speaking, loss of sensation in the face or other areas"
Hydronephrosis,"flank pain, urinary frequency, swelling in the abdomen"
Gestational Hypertension,high blood pressure without proteinuria (preeclampsia)
Hypergammaglobulinemia,"elevated levels of gamma globulins in the blood, may be asymptomatic or associated with other underlying conditions"
Sickle cell disease,an increased risk of serious infections
Type 1 Diabetes,"frequent urination, increased thirst, weight loss"
Gastroenteritis (Stomach Flu),"nausea, vomiting, diarrhea, abdominal pain or cramps, fever"
Hepatitis B,"a high temperature, tiredness, pain in your upper tummy, feeling sick or being sick, patches of raised skin that may be itchy (hives), yellowing of the skin and whites of the eyes (jaundice)"
Adenoid cystic carcinoma,"lump, swelling, facial numbness, tingling"
Anaphylaxis,"swelling of your throat and tongue, difficulty breathing or breathing very fast, difficulty swallowing, tightness in your throat or a hoarse voice, wheezing, coughing or noisy breathing, feeling tired or confused, feeling faint, dizzy or fainting, skin that feels cold to the touch"
Vitamin B12 or folate deficiency anaemia,"extreme tiredness, a lack of energy, pins and needles, a sore and red tongue, mouth ulcers, muscle weakness, problems with your vision, problems with memory, understanding and judgement"
Heat exhaustion and heatstroke,"tiredness, dizziness, headache, feeling sick or being sick, cramps in the arms, legs and stomach, fast breathing or heartbeat, a high temperature, being very thirsty, weakness"
Hydrocephalus,"headache, nausea, vomiting, cognitive or developmental problems, enlarged head in infants"
Parotid stones,"swelling, pain, dry mouth, bad taste"
Glutaric aciduria type 1,thanaverage head (macrocephaly)
Chronic kidney disease,"tiredness, swollen ankles, feet or hands, shortness of breath, feeling sick, blood in your pee (urine)"
Breast cancer in men,"a lump or swelling in your chest or armpit, sores or ulcers on your chest"
Inflammatory bowel disease,"diarrhoea that lasts longer than 4 weeks, tummy pain, blood or mucus (clear slime) in your poo, bleeding from your bottom, feeling tired all the time, losing weight without trying"
Broken or bruised ribs,"swelling or tenderness around the affected ribs, sometimes bruising on the skin, feeling or hearing a crack if it's a broken rib"
Maple syrup urine disease,"sweetsmelling urine and sweat, poor feeding or loss of appetite, weight loss"
Thoracic outlet syndrome,"the affected arm gets tired easily, pain and swelling in the affected arm, the affected hand and arm feels cold"
Gallbladder cancer,"loss of appetite orlosing weight without trying to, a high temperature, or you feel hot or shivery, a lump in your tummy, feeling or being sick, sharp pain in your tummy"
Food intolerance,"diarrhoea, bloating, farting, tummy pain"
Ludwig's angina,"severe swelling of the floor of the mouth, fever, difficulty swallowing, drooling"
Parkinson's disease,"involuntary shaking of particular parts of the body(tremor), slow movement, stiff and inflexible muscles, depressionandanxiety, balance problems (this may increase the chances of afall), loss of sense of smell(anosmia), problems sleeping(insomnia), memory problems"
Reflux in babies,"coughing or hiccupping when feeding, being unsettled during feeding, swallowing or gulping after burping or feeding, crying and not settling, not gaining weight as they're not keeping enough food down"
Bell's palsy,"a drooping eyelid or corner of your mouth, drooling, a dry mouth, loss of taste, a dry or watering eye"
Testicular cancer,"a lump or swelling in your testicle, your testicle getting bigger, your scrotum feeling heavy, firm or hard, an ache or pain in your back or lower tummy, losing weight without trying, a cough, difficulty breathing or swallowing, a sore or swollen chest"
Mastitis,a wedgeshapedbreast lumpor a hard area on your breast
Neonatal herpes (herpes in a baby),"is lethargic or irritable, is not feeding, is lacking in energy (listless), is becoming floppy and unresponsive, is difficult to wake up from sleep, has breathing difficulties or starts grunting, breathes rapidly"
Catarrh,"a constantly blocked nose, a crackling feeling in your ears"
Acute Sinusitis,"facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)"
Intracranial Hemorrhage,"severe headache, nausea or vomiting, changes in vision, loss of consciousness, seizures"
Chronic Glaucoma,"gradual vision loss, peripheral vision impairment, eye pain or discomfort, halos around lights"
Osteochondrosis,"joint pain, stiffness, swelling, reduced range of motion"
Altitude sickness,"a headache, loss of appetite, feeling or being sick, feeling tired or exhausted, dizziness, difficulty sleeping, threatening"
Bronchiolitis,"breathing more quickly, finding it difficult to feed or eat, noisy breathing (wheezing), becoming irritable"
Acute cholecystitis,"a high temperature, feeling sick, being sick, sweating, loss of appetite, yellowing of the skin and the whites of the eyes(jaundice), a bulge in the tummy"
Giardiasis,"smelly diarrhoea, tummy pain or cramps, farting (flatulence), smelly burps  they may smell like eggs, bloating, weight loss"
Peripheral arterial disease (PAD),"hair loss on your legs and feet, numbness or weakness in the legs, brittle, slowgrowing toenails, shiny skin, in men,erectile dysfunction, the muscles in your legs shrinking (wasting)"
Rabies,"flu-like symptoms (fever, headache, fatigue), anxiety, confusion, hallucinations, difficulty swallowing"
Phenylketonuria,"behavioural difficulties such as frequent temper tantrums and episodes ofselfharm, eczema, repeatably being sick, jerking movements in arms and legs, tremors, epilepsy, musty smell to the breath, skin and urine"
Colour vision deficiency (colour blindness),"has difficulty with tasks involving sorting colours, lacks interest in colouring tasks, smells food before eating it"
Benign Kidney Cyst,"abdominal or flank pain, blood in urine, frequent urination"
Chronic Kidney Disease,"fatigue, swelling of the legs or ankles, decreased appetite, difficulty concentrating, increased urination or urine changes, blood in urine, high blood pressure"
Anabolic steroid misuse,"depressionand apathy, feelings of anxiety, difficulty concentrating, insomnia, anorexia, decreased sex drive, extreme tiredness (fatigue), headaches, muscle and joint pain"
Hypertrophic Obstructive Cardiomyopathy (HOCM),"shortness of breath, especially during physical activity or exertion, chest pain or discomfort, dizziness or lightheadedness, fainting or near-fainting episodes, heart palpitations (rapid or irregular heartbeat), fatigue, swelling in the ankles, feet, or legs"
Ischemia of the Bowel,"severe abdominal pain, bloody stools, diarrhea, nausea, vomiting, fever, rapid heart rate, low blood pressure"
Anemia due to Chronic Kidney Disease,"fatigue, weakness, pale skin"
Acute Otitis Media,"ear pain, fever, fluid drainage from the ear, hearing loss or muffled hearing in the affected ear"
Oesophageal cancer,"having problems swallowing (dysphagia), feeling or being sick, heartburn or acid reflux, symptoms ofindigestion, such as burping a lot, a cough that is not getting better, a hoarse voice, loss of appetite orlosing weight without trying to, feeling tired or having no energy, black poo or coughing up blood (although these are uncommon), oesophageal reflux disease, you may get symptoms like these regularly"
Broken nose,"pain, swelling and bruising, a crunching or crackling sound when you touch your nose, difficulty breathing through your nose  it might feel blocked"
Induced Abortion,"vaginal bleeding, cramping, abdominal pain, nausea, fatigue, emotional distress"
Paget's disease of bone,"bone or joint pain, skin feeling warm over the affected bone, changes in bone shape"
Cirrhosis,"fatigue, jaundice, abdominal swelling (ascites), easy bruising and bleeding, confusion, loss of appetite, weight loss"
Progressive supranuclear palsy,"problems with balance and mobility, including frequentfalls, muscle stiffness, slow, quiet or slurred speech, difficulty swallowing (dysphagia), slowness of thought and some memory problems"
Hepatitis due to a Toxin,"fatigue, jaundice, abdominal pain, nausea, vomiting"
Meniere Disease,"vertigo, hearing loss, tinnitus, ear fullness"
Vaginal dryness,"feel sore or itchy in and around your vagina, feel pain or discomfort during sex, need to pee more often than usual, keep gettingurinary tract infections (utis)"
Chronic Migraine,"recurrent, disabling migraines"
Premature Ventricular Contractions (PVCs),"skipped or extra heartbeats, palpitations, lightheadedness"
Peyronie's disease,"painful erections that can make having sex difficult, problems getting or keeping an erection (erectile dysfunction)"
Injury to the Leg,"pain, swelling, bruising, difficulty walking"
Corneal Abrasion,"eye pain, redness, foreign body sensation, sensitivity to light"
Angle-Closure Glaucoma,"severe eye pain, headache, blurred vision, halos around lights, nausea and vomiting"
Isovaleric acidaemia,"developing a distinctive odour of sweaty feet, poor feeding or loss of appetite, weight loss, lack of energy, vomiting, irritability, sleepiness and nonresponsiveness, floppiness and falling over, poor feeding, breathing difficulties"
Hyperemesis Gravidarum,severe nausea and vomiting during pregnancy
Trimethylaminuria ('fish odour syndrome'),"breath, sweat, pee, vaginal fluids, sweating, stress, certain foods  such as fish, eggs and beans, periods"
Metabolic syndrome,up
Rumination Disorder,repeated regurgitation and re-chewing of food
Acoustic neuroma (vestibular schwannoma),"hearing lossthat usually only affects 1 ear, hearing sounds that come from inside the body (tinnitus), the sensation that you're moving or spinning (vertigo), persistentheadaches, temporary blurred ordouble vision, numbness, pain or weakness on 1 side of the face, voice changes ordifficulty swallowing (dysphagia)"
Pre eclampsia,"severe headache, vision problems, such as blurring or flashing, pain just below the ribs, vomiting, sudden swelling of the face, hands or feet"
Dysentery,diarrhoea medicine if you have dysentery
Narcolepsy,"memory problems, headaches, depression"
Cervical cancer,"changes to your vaginal discharge, pain during sex"
Post polio syndrome,"persistent fatigue (extreme tiredness), muscle weakness, shrinking muscles, muscle and joint pain, sleep apnoea, polio syndromeanddiagnosing postpolio syndrome"
Low-Tension Glaucoma,"gradual loss of vision, visual field defects"
Rabies,"numbness or tingling where you were bitten or scratched, seeing things that are not there (hallucinations), feeling very anxious or energetic, difficulty swallowing or breathing, being unable to move (paralysis)"
Glandular fever,"high temperature, sore throat, headache, tiredness"
The 'male menopause',"mood swings and irritability, loss of muscle mass and reduced ability to exercise, a general lack of enthusiasm or energy, difficulty sleeping (insomnia) or increased tiredness, poor concentration and shortterm memory"
Alcohol poisoning,"confusion, slurring words or being unable to speak, being sick, peeing or pooing yourself, slow or irregular breathing, having a seizure or fit, loss of consciousness"
Granulomatosis with polyangiitis (GPA),"high temperature, night sweats, feeling weak and tired, joint pain, loss of appetite, weight loss"
Pelvic Organ Prolapse,"pelvic pressure or heaviness, urinary incontinence, bowel movement difficulties, discomfort or pain during intercourse"
Neurofibromatosis type 1 (NF1),"a large head and below average height, learning difficulties"
Juvenile Rheumatoid Arthritis,"joint pain, swelling, stiffness, limited range of motion, fever, rash"
Dystonia,"uncontrolled muscle cramps and spasms, shaking (tremors), uncontrolled blinking"
Intertrigo,"red, raw, or inflamed skin in skin folds (such as armpits or groin), itching or burning sensation"
Cyst of the Eyelid,"painful lump or swelling on the eyelid, redness, tenderness"
Female Infertility of Unknown Cause,"inability to conceive after one year of unprotected intercourse, irregular or absent menstrual cycles, hormonal imbalances, age-related factors, other"
Gum disease,"your gums becoming swollen, red and sore"
Cornea Infection,"eye redness, pain or discomfort, blurred or decreased vision, increased sensitivity to light"
Septic arthritis,fluid may be drained from the affected joint
Anorexia Nervosa,"extreme weight loss, fear of gaining weight, distorted body image"
Primary biliary cholangitis (primary biliary cirrhosis),"bone and joint aches, fatigue (extreme tiredness), itchy skin, dry eyes and mouth"
Polymyalgia rheumatica,"extreme tiredness, loss of appetite, weight loss, depression"
Myositis,"muscle weakness, pain, inflammation"
Glue ear,"earache or ear pain, hearing sounds like ringing or buzzing (tinnitus), problems with balance"
Subdural haematoma,"aheadachethat keeps getting worse, feeling and being sick, confusion, feeling drowsy, loss of consciousness"
Broken collarbone,"chest pain, difficulty breathing, coughing up blood"
Diabetic retinopathy,"gradually worsening vision, sudden vision loss, shapes floating in your field of vision(floaters), blurred or patchy vision, eye pain or redness, difficulty seeing in the dark"
Scabies,"intense itching, especially at night, a raised rash or spots"
Von Willebrand disease,"bruising easily, frequentnosebleeds, bleeding gums, bleeding more than usual after an injury or cut, heavy periods"
Sedatives Poisoning,"drowsiness, confusion, slowed breathing"
Spondylolisthesis,"pain spreading to your bottom or thighs, tight hamstrings (the muscles in the back of your thighs)"
Huntington's disease,"difficulty concentrating and planning tasks, memory problems, low mood, depression and anxiety, becoming clumsy and finding it difficult to control your muscles, difficulty swallowing and speaking, losing weight, more severe mood or personality changes"
Hydrocele of the Testicle,swelling of the scrotum
Fat Embolism,"respiratory distress, chest pain, confusion, petechial rash (small red or purple spots), neurological symptoms"
Cystic fibrosis,"wheezing and shortness of breath, frequent sinus infections (sinusitis) and chest infections, constipation, stomach pain, bloating and swelling, in children, not growing as quickly as expected, in adults, losing weight without trying to, swollen fingertips and rounder nails"
Tick borne encephalitis (TBE),"borne encephalitis (tbe) does not cause symptoms in most people, like symptoms about a week after being bitten, such as, a high temperature, tiredness, headache, aches and pains, feeling sick, a stiff neck and a severe headache, pain when looking at bright lights, a fit (seizure), a change in behaviour, confusion or slurred speech, weakness or loss of movement in part of the body"
Ectopic pregnancy,"a missed period and othersigns of pregnancy, tummy painlow down on one side, vaginal bleedingor a brown watery discharge, pain in the tip of your shoulder, discomfort when peeing or pooing"
Urinary Tract Infection (UTI),"painful urination, frequent urination, pelvic pain, cloudy urine"
Non cancerous (benign) brain tumours,"seizures (fits), feeling sick (nausea) and being sick (vomiting), feeling sleepy or dizzy, changes in your eyesight, such as blurred or double vision, problems with speech, movement and balance"
Myofascial Pain Syndrome,"localized muscle pain, trigger points"
Dislocation of the Ankle,"swelling, severe pain, inability to bear weight"
Pregnancy-Related Back Pain,"lower back pain, discomfort in the pelvic area"
Nail problems,"psoriasis, iron deficiency anaemia, anunderactive thyroidoroveractive thyroid, diabetes, heart, lung or liver disease"
Transurethral resection of the prostate (TURP),"problems with starting to pee, a weak flow of pee, or stopping and starting, having to strain to pee, a frequent need to pee, waking up frequently during the night to pee, a sudden urge to pee, being unable to empty your bladder fully"
Gastroparesis,"feeling sick and being sick, tummy pain, heartburn, bloating"
Actinic Keratosis,"rough, scaly patches on the skin, usually in sun-exposed areas"
Tuberculosis (TB),"feeling tired or exhausted, a high temperature or night sweats, loss of appetite, weight loss, feeling generally unwell"
Hirsutism,excessive hair growth in women
Vitamin A Deficiency,"night blindness, dry eyes, dry or rough skin, poor wound healing, weakened immune system"
Head and Neck Cancer,"persistent sore throat, difficulty swallowing, voice changes, ear pain, neck mass, weight loss"
Bladder pain syndrome (interstitial cystitis),"intensepelvic pain(felt over your lower tummy), sudden strong urges to pee, needing to pee more often than usual, waking up several times during the night to pee"
Gallbladder removal,"sudden and intensetummy pain, feeling and being sick, yellowing of the skin and the whites of the eyes(jaundice)"
How to check your breasts or chest,"a lump or swelling in your breast, chest or armpit, sores or ulcers on your chest"
Attention Deficit Hyperactivity Disorder (ADHD),"inattention, hyperactivity, impulsivity"
Tennis elbow,"tenderness or swelling in your elbow, pain in your forearm, difficulty fully straightening your arm"
Slipped disc,"have not improved using other treatments, include worsening muscle weakness, or numbness"
Pica,persistent consumption of non-food substances
Paget's disease of the nipple,invasive cancer
Optic Neuritis,"vision loss or blurry vision, eye pain with eye movement, color vision impairment, flashing lights or floaters"
Muscular Dystrophy,"progressive muscle weakness and degeneration, difficulty walking or moving, muscle wasting"
Infection of Open Wound,"redness, swelling, warmth, pain or tenderness at the wound site, pus or drainage from the wound, fever, malaise"
Mittelschmerz,lower abdominal pain and discomfort occurring around the time of ovulation
Lymphoedema,"an aching, heavy feeling, difficulty with movement, repeated skin infections, developing hard, tight or thickened skin, folds developing in the skin, wartlike growths developing on the skin, fluid leaking through the skin"
Orbital Cellulitis,"eye pain, swelling, redness, vision changes"
Toxic shock syndrome,"a high temperature, muscle aches, a raised skin rash that feels like sandpaper, flulike symptoms"
