Name,Symptoms
Chiari malformation,"neck pain, dizziness and balance problems, muscle weakness, numbness or tingling in the arms or legs, blurred vision,double visionand sensitivity to light, swallowing problems, hearing lossandtinnitus, feeling and being sick, difficulty sleeping (insomnia) andclinical depression"
Chickenpox,"a high temperature, aches and pains, and generally feel unwell, loss of appetite"
Cholera,"having lots of watery diarrhoea, feeling sick or being sick, tummy pain, dehydration"
Cholesteatoma,"a watery, smelly, discharge that comes out of the ear, a gradual loss of hearing in the affected ear, pain in the affected ear, ear infections that keep coming back, vertigo, tinnitus, damage to the facial nerve"
Myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS),"problems with thinking, concentration and memory (brain fog)"
Chronic kidney disease,"tiredness, swollen ankles, feet or hands, shortness of breath, feeling sick, blood in your pee (urine)"
Chronic myeloid leukaemia,"feeling tired or weak, bleeding or bruising easily or for no reason, swollen glands, usually in the neck, armpits and groin, aches and pains in your bones, loss of appetite or losing weight without trying, swollen tummy  your tummy may feel painful, uncomfortable or full, night sweats, headaches, blurred vision, swollen or painful joints, painful erections(priapism), or erections that do not go down"
Chronic obstructive pulmonary disease (COPD),"shortness of breath, particularly when you're active, frequentchest infections, persistent wheezing, up or exacerbation"
Chronic traumatic encephalopathy,"shorttermmemory loss, difficulties with planning and organisation, problems with movement"
Cirrhosis,"feeling tired or unwell all the time, loss of appetite or losing weight without trying, feeling or being sick, tummy pain, visible blood vessels on the skin, bleeding or bruising easily, itchy skin, swollen tummy, legs, ankles or feet, trembling hands, slurred speech, feeling confused or difficulty concentrating, vomiting blood, very dark or black poo"
Creutzfeldt Jakob disease,"loss of intellect and memory, changes in personality, loss of balance and coordination, slurred speech, vision problems andblindness, abnormal jerking movements, progressive loss of brain function and mobility, jakob diseaseanddiagnosing creutzfeldtjakob disease"
Clostridium difficile (C. diff) infection,"diarrhoea, a high temperature, loss of appetite, feeling sick, a stomach ache"
Cluster headaches,"headaches that start and stop quickly, without warning, headaches that last between 15 minutes and 3 hours"
Coeliac disease,"diarrhoea, which may smell particularly unpleasant, stomach aches, bloating andfarting (flatulence), indigestion, constipation, unintentional weight loss, an itchy rash (dermatitis herpetiformis), problems getting pregnant (infertility), nerve damage (peripheral neuropathy), disorders that affect coordination, balance and speech (ataxia)"
Colour vision deficiency (colour blindness),"has difficulty with tasks involving sorting colours, lacks interest in colouring tasks, smells food before eating it"
Common cold,"a blocked or runny nose, sneezing, a sore throat, a hoarse voice, a cough, feeling tired and unwell"
Compartment syndrome,"swelling or bulging of the muscle, numbness, weakness or pins and needles, tightness or difficulty moving the affected body part"
Complex regional pain syndrome,"joint stiffness and swelling in the affected limb (oedema), tremors and muscle spasms (dystonia), difficulty moving the affected body part, difficulty sleeping (insomnia), skin infections and open sores (ulcers), muscle atrophy, where the muscles begin to waste away"
Congenital heart disease,"rapid heartbeat, rapid breathing, swelling of the legs, tummy or around the eyes, extreme tiredness and fatigue, a blue tinge to the skin or lips (cyanosis), tiredness and rapid breathing when a baby is feeding"
Developmental dysplasia of the hip,"1 leg seems to be longer than the other, 1 leg drags when they crawl, a limp or waddling walk"
Coronary heart disease,"chest pain(angina), shortness of breath, pain in your neck, shoulders, jaw or arms, feeling faint, feeling sick (nausea)"
COVID 19,"19 symptoms can include, shortness of breath, feeling tired or exhausted, an aching body, a headache, a sore throat, a blocked or runny nose, loss of appetite, diarrhoea, feeling sick or being sick"
Corticobasal degeneration,"muscle stiffness, shaking (tremors), jerky movements and spasms (dystonia), problems with balance and coordination, slow and slurred speech, symptoms of dementia, such as memory and visual problems, slow, effortful speech, difficulty swallowing"
Craniosynostosis,"learning difficulties, sight or hearing loss, dental problems, such as missing or crowded teeth"
Crohn's disease,"diarrhoea, stomach aches and cramps, blood in your poo, tiredness (fatigue), weight loss, up"
Croup,"a hoarse voice, difficulty breathing, a high pitched, rasping sound when breathing in"
Cushing's syndrome,"low sex drive (loss of libido), changes in mood, such as feeling irritable, anxious or depressed, irregular periods or periods stopping completely, excessive hair growth (hirsutism)"
Cyclical vomiting syndrome,"remember to take any medicine you've been prescribed, stay in bed and sleep in a dark, quiet room"
Cyclospora,"diarrhoea, loss of appetite and weight loss, stomach cramps, bloating and farting, tiredness, feeling sick, muscle aches"
Cystic fibrosis,"wheezing and shortness of breath, frequent sinus infections (sinusitis) and chest infections, constipation, stomach pain, bloating and swelling, in children, not growing as quickly as expected, in adults, losing weight without trying to, swollen fingertips and rounder nails"
Cystitis,"pain, burning or stinging when you pee, needing to pee more often and urgently than usual, pee that's dark, cloudy or strong smelling, pain low down in your tummy"
Cytomegalovirus (CMV),"like symptoms the first time they get cmv, including, a high temperature, aching muscles, tiredness, a skin rash, feeling sick, a sore throat, swollen glands"
Deafblindness,"difficulty following a conversation, not hearing noises such as a knock at the door, asking others to speak loudly, slowly and more clearly, difficulty moving around unfamiliar places"
Hearing loss,"asking people to repeat themselves, difficulty hearing on the phone, finding it hard to keep up with a conversation, feeling tired or stressed from having to concentrate while listening"
Dehydration,"feeling thirsty, dark yellow, strongsmelling pee, peeing less often than usual, feeling dizzy or lightheaded, feeling tired, a dry mouth, lips and tongue, sunken eyes"
Vascular dementia,"slowness of thought, difficulty with planning and understanding, problems with concentration, changes to your mood, personality or behaviour, feeling disoriented and confused, difficulty walking and keeping balance"
Dementia with Lewy bodies,"confusionor sleepiness  this can change over minutes or hours, slow movement, stiff limbs andtremors(uncontrollable shaking), disturbed sleep, often with violent movements and shouting out, faintingspells, unsteadiness andfalls, depressionandanxiety"
Dengue,"a high temperature, a severe headache, pain behind your eyes, muscle and joint pain, feeling or being sick, swollen glands"
Diabetes,"feeling verythirsty, peeing more frequently than usual, particularly at night, feeling very tired, weight loss and loss of muscle bulk, itching around the penis or vagina, or frequent episodes ofthrush, blurred vision"
Type 1 diabetes,"peeing more than usual, feeling very thirsty, feeling very tired, losing weight quickly without trying to, blurred vision, cuts and wounds taking longer to heal, getting frequent infections, such as thrush"
Type 2 diabetes,"feeling very tired, peeing more than usual, feeling thirsty all the time, losing weight without trying to, blurred vision, cuts or wounds taking longer to heal"
Gestational diabetes,"increasedthirst, needing to pee more often than usual, a dry mouth, tiredness, blurred eyesight, genital itching or thrush"
Diabetes insipidus,"extremethirst(polydipsia), peeing a lot, even at night (polyuria)"
Diabetic ketoacidosis,"feeling thirsty, needing to pee more often, stomach pain, feeling sick or being sick, diarrhoea, breathing more deeply than usual, feeling tired, sleepy or confused, blurred vision"
Diabetic retinopathy,"gradually worsening vision, sudden vision loss, shapes floating in your field of vision(floaters), blurred or patchy vision, eye pain or redness, difficulty seeing in the dark"
DiGeorge syndrome (22q11 deletion),short stature  children and adults may be shorter than average
Diphtheria,"a high temperature (fever), sore throat, swollen glands in your neck, difficulty breathing and swallowing, pusfilled blisters on your legs, feet and hands, large ulcers surrounded by red, sorelooking skin"
Discoid eczema,"the patches oozing a lot of fluid, a yellow crust developing over the patches, feeling sick, feeling hot or shivery, feeling unwell"
Diverticular disease and diverticulitis,"constipation, diarrhoea, blood in your poo, bloating, severe, constant tummy pain, high temperature, bleeding or passing slime (mucus) from your bottom"
DVT (deep vein thrombosis),"swelling in 1 leg (rarely both legs), warm skin around the painful area"
Dysarthria (difficulty speaking),"difficulty moving your mouth, tongue or lips, slurred or slow speech"
Dysentery,diarrhoea medicine if you have dysentery
Dyslexia,"read and write very slowly, confuse the order of letters in words, have poor or inconsistent spelling, find it hard to carry out a sequence of directions, struggle with planning and organisation"
Dyspraxia (developmental co ordination disorder) in adults,"your coordination, balance and movement, your daily living skills, such as dressing or preparing meals, your ability to write, type, draw and grasp small objects, how you function in social situations, how you deal with your emotions, time management, planning and personal organisation skills"
Dystonia,"uncontrolled muscle cramps and spasms, shaking (tremors), uncontrolled blinking"
Ear infections,"pain inside the ear (earache), a high temperature, difficulty hearing, discharge running out of the ear, a feeling of pressure or fullness inside the ear, itching and irritation in and around the ear, scaly skin in and around the ear"
Perforated eardrum,"ear infection, injury (such as getting hit on your ear), loud noise"
Early or premature menopause,"hot flushes and night sweats, vaginal dryness, difficulty sleeping, low mood or anxiety, reduced sex drive, problems with memory or concentration"
Earwax build up,"up include, hearing loss, earache or a feeling that your ears are blocked, ringing or buzzing in your ears (tinnitus), vertigo (feeling dizzy and sick)"
Ebola virus disease,"being sick, diarrhoea and tummy pain, a skin rash, yellowing of the skin and eyes, blood in your poo, lots of bruises all over your body, bleeding from your ears, eyes, nose or mouth"
Heart palpitations,"chest pain, shortness of breath, feeling faint or fainting"
Ectopic pregnancy,"a missed period and othersigns of pregnancy, tummy painlow down on one side, vaginal bleedingor a brown watery discharge, pain in the tip of your shoulder, discomfort when peeing or pooing"
Varicose eczema,"itchy and swollen, dry and flaky, scaly, crusty or blistered, tender and tight skin that can eventually become hardened (lipodermatosclerosis), small, white scars (atrophie blanche), pain, eczema affecting other parts of the body"
Edwards' syndrome (trisomy 18),"low birth weight, ears in a low position on their head, cleft lip or palate, club foot, problems with their heart, kidneys or spine, problems with their breathing or digestion"
Ehlers Danlos syndromes,"an increased range of joint movement (joint hypermobility), stretchy skin, fragile skin that breaks or bruises easily"
Ejaculation problems,"producing no semen, or only a small amount, during ejaculation"
Electrocardiogram (ECG),"a heart attack, coronary heart disease, problems with how quickly or regularly your heart beats (arrhythmia)"
Empyema,"a fever and night sweats, a lack of energy, difficulty breathing, weight loss, chest pain, a cough and coughing up mucus containing pus"
Encephalitis,"like symptoms, such as a high temperature andheadache, confusion or disorientation, seizures or fits, changes in personality and behaviour, difficulty speaking, loss of consciousness"
Endocarditis,"a high temperature, chills, headache, joint and muscle pain, threatening complications, such as"
Endometriosis,"severeperiod pain, that stops you from doing your normal activities, pain when you poo or pee, pain in your lower tummy and back (pelvic area), pain during or after sex, extreme tiredness (fatigue)"
Epidermolysis bullosa,"skin that blisters easily, blisters on the hands and soles of the feet, thickening of the skin and nails"
Epiglottitis,"be very fast or slow, be easier when you lean forward, make a highpitched, rasping sound as you breathe in, a very sore throat, a high temperature, a hoarse (croaky) voice, finding it painful and difficult to swallow, drooling, being extremely tired or very restless and irritable"
Epilepsy,"your body becoming stiff or floppy, suddenly falling to the floor, jerking or twitching movements in your body, peeing unintentionally"
Erythema multiforme,"a high temperature, headache, body aches and pains, feeling generally unwell"
Erythrocytosis,"headaches, blurred vision, tiredness, high blood pressure, dizziness, discomfort in the tummy, confusion, bleeding problems  such asnosebleedsand bruising, gout which can cause joint pain, stiffness and swelling, itchy skin especially after a bath or shower"
Erythromelalgia,"burning pain, which often starts as itching, redness  this can look different on brown or black skin, warm or hot skin"
Excessive thirst,"feeling thirsty, dark yellow and strongsmelling pee, peeing little and less than 4 times a day, feeling dizzy or lightheaded, feeling tired, dry mouth, lips and eyes"
Eye cancer,"shadows, flashes of light, or wiggly lines in your vision, blurred vision, a dark patch in your eye that's getting bigger, partial or totalloss of vision, bulging of 1 eye, eye irritation that is not going away, pain in or around your eye, although this is rare"
Retinoblastoma,"the eyes pointing in a different direction (squint), the coloured part of the eye (iris) changing colour, swelling around the eye, uncontrolled eye movements, vision problems, pain in 1 or both eyes"
Herpes simplex eye infections,"eye pain, a red eye, watering of your eye, sensitivity to light, blurred vision or other changes to your eyesight, a swollen eyelid"
Eye tests for children,"the eyes not pointing in the same direction, complaining ofheadachesor eye strain, being unusually clumsy, regularly rubbing their eyes, sitting too close to the tv"
Prosopagnosia (face blindness),"recognising emotions on people's faces, recognising people's age and gender, recognising characters and following plots in tv programmes or films, recognising other things, such as cars or animals, finding your way around"
Fainting,"dizziness, cold skin and sweating, feeling warm or hot, feeling sick, changes to your vision"
Fibroids,"heavy periodsorpainful periods, tummy (abdominal) pain, lowerback pain, a frequent need to urinate, constipation, pain or discomfort during sex"
Fibromyalgia,"increased sensitivity to pain, muscle stiffness, headaches, feelings of frustration, worry or low mood"
Flu,"a sudden high temperature, an aching body, feeling tired or exhausted, a dry cough, a sore throat, a headache, difficulty sleeping, loss of appetite, diarrhoea or tummy pain, feeling sick and being sick"
Food allergy,"feeling dizzy or lightheaded, itchy skin or a raised rash (hives), swelling of the lips, face and eyes (angioedema), coughing, wheezing, breathlessness, noisy breathing or a hoarse voice, sneezing or an itchy, runny or blocked nose, feeling sick or being sick, tummy pain, diarrhoea"
Food intolerance,"diarrhoea, bloating, farting, tummy pain"
Food poisoning,"feeling sick or being sick, diarrhoea, tummy pain, a high temperature, feeling generally unwell"
Tight foreskin (phimosis),"swelling and tenderness, pain when peeing or a weak flow of pee, blood in urine, frequenturinary tract infections (utis), painful erections, which can make having sex difficult"
Frostbite,"constant shivering, tiredness, low energy, cold or pale skin, fast breathing (hyperventilation)"
Frozen shoulder,stiffness in your shoulder which makes it difficult to move
Medically unexplained symptoms,"pains in the muscles or joints, back pain, headaches, tiredness, feeling faint, chest pain, heart palpitations, stomach problems, fits (seizures), breathlessness, weakness and paralysis, numbness and tingling"
Gallbladder cancer,"loss of appetite orlosing weight without trying to, a high temperature, or you feel hot or shivery, a lump in your tummy, feeling or being sick, sharp pain in your tummy"
Gallbladder removal,"sudden and intensetummy pain, feeling and being sick, yellowing of the skin and the whites of the eyes(jaundice)"
Gallstones,"persistent pain, yellowing of the skin and eyes (jaundice), a high temperature"
Gangrene,swelling of the skin in the affected area
Gastritis,"tummy pain, indigestion, feeling full and bloated, feeling sick (nausea), being sick (vomiting), not feeling as hungry as usual, burping and farting"
Heartburn and acid reflux,heartburn  a burning sensation in the middle of your chest
Gastroparesis,"feeling sick and being sick, tummy pain, heartburn, bloating"
Gender dysphoria,"low selfesteem, becoming withdrawn or socially isolated, depression or anxiety, taking unnecessary risks, neglecting themselves"
Genital herpes,"tingling, burning or itching around your genitals, pain when you pee, discharge that is not usual for you"
Temporal arteritis,"frequent, severe headaches, jaw pain while eating or talking, like symptoms, unintentional weight loss, depression and tiredness"
Giardiasis,"smelly diarrhoea, tummy pain or cramps, farting (flatulence), smelly burps  they may smell like eggs, bloating, weight loss"
Glandular fever,"high temperature, sore throat, headache, tiredness"
Glaucoma,"coloured circles around bright lights, intense eye pain, nausea and vomiting, ared eye, aheadache, tenderness around the eyes, seeing rings around lights, blurred vision"
Glomerulonephritis,"rashes, joint pain, stomach pain, high temperature, shortness of breath, peeing a lot less than usual, tiredness, loss of appetite and weight loss"
Glue ear,"earache or ear pain, hearing sounds like ringing or buzzing (tinnitus), problems with balance"
Glutaric aciduria type 1,thanaverage head (macrocephaly)
Goitre,"a cough that does not go away, a hoarse voice or voice changes, feeling like something is stuck in your throat, a wheezing noise when you breathe, finding it hard to swallow or breathe"
Granulomatosis with polyangiitis (GPA),"high temperature, night sweats, feeling weak and tired, joint pain, loss of appetite, weight loss"
